tanggal,tahun,bulan,week,nama_provinsi,nama_kota,nama_kecamatan,hospitalized,self_isolation,recovered,recovered_delta,total_deaths,total_deaths_delta,total_cases,total_cases_delta,recovery_rate,mortality_rate
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,188,0,5267,,130,,5585,,0.17888802092178108,4.4153109397819515E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,132,0,2585,,65,,2782,,0.16060888474681578,4.0385212799005903E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA BARAT,KALI DERES,88,0,2872,,71,,3031,,0.13408655866286942,3.3148139502311032E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,117,0,4040,,94,,4251,,0.16398100418070383,3.8153996022242966E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,90,0,3200,,46,,3336,,0.15615088078856196,2.2446689113355782E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA BARAT,PALMERAH,83,0,3248,,82,,3413,,0.14793896606695514,3.7349123206558872E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,38,0,1686,,29,,1753,,0.17756714060031595,3.0542390731964192E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA BARAT,TAMBORA,94,0,2209,,64,,2367,,0.1739781050641884,5.0405607623848154E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,44,0,2079,,38,,2161,,0.14131321370309952,2.5829255029907561E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,44,0,1736,,34,,1814,,0.17772317772317772,3.4807534807534809E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,25,0,1911,,65,,2001,,0.15827397714096406,5.3834686102368729E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,78,0,3787,,97,,3962,,0.16015393724097099,4.1021737291719526E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA PUSAT,MENTENG,25,0,1410,,33,,1468,,0.17016654598117306,3.9826212889210715E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,46,0,1637,,40,,1723,,0.15572678843226789,3.8051750380517502E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA PUSAT,SENEN,43,0,1946,,45,,2034,,0.14514805698515701,3.3564555829044529E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,59,0,2669,,64,,2792,,0.18347425586031485,4.3995325496665981E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,55,0,2888,,51,,2994,,0.13785860900281635,2.4344837462408706E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,63,0,3459,,61,,3583,,0.14872302003611659,2.6227534611746495E-3
