corridorID,corridorName,corridorCategory
1,BLOK M - KOTA,BRT
2,PULO GADUNG - MONUMEN NASIONAL,BRT
2A,PULO GADUNG - RAWA BUAYA,BRT
3,KALIDERES - MONUMEN NASIONAL VIA VETERAN,BRT
3F,KALIDERES - SENAYAN BANK DKI,BRT
3H,STASIUN PESING - KOTA,BRT
4,PULO GADUNG - GALUNGGUNG,BRT
4D,PULO GADUNG - KUNINGAN,BRT
5,KAMPUNG MELAYU - ANCOL,BRT
5C,CILILITAN - JUANDA,BRT
5D,CILILITAN - ANCOL,BRT
6,RAGUNAN - GALUNGGUNG,BRT
6A,RAGUNAN - BALAI KOTA VIA KUNINGAN,BRT
6B,RAGUNAN - BALAI KOTA VIA SEMANGGI,BRT
6V,RAGUNAN - SENAYAN BANK DKI,BRT
7,KAMPUNG MELAYU - KAMPUNG RAMBUTAN,BRT
7F,KAMPUNG RAMBUTAN - JUANDA VIA CEMPAKA PUTIH,BRT
8,LEBAK BULUS - PASAR BARU,BRT
9,PINANG RANTI - PLUIT,BRT
9A,CILILITAN - GROGOL,BRT
9C,PINANG RANTI - BUNDARAN SENAYAN,BRT
9N,PINANG RANTI - SIMPANG CAWANG,BRT
10,TANJUNG PRIOK - PGC,BRT
10D,TANJUNG PRIOK - KP RAMBUTAN,BRT
10H,TANJUNG PRIOK - BUNDARAN SENAYAN,BRT
11,PULO GEBANG - KAMPUNG MELAYU,BRT
12,PLUIT - TANJUNG PRIOK,BRT
13,PURI BETA - TEGAL MAMPANG,BRT
13B,PURI BETA - PANCORAN,BRT
14,JAKARTA INTERNATIONAL STADIUM - SENEN,BRT
L13E,PURI BETA - FLYOVER KUNINGAN,BRT
1A,PANTAI MAJU - BALAI KOTA,Angkutan Pengumpan
1B,STASIUN PALMERAH - TRANSPORT HUB DUKUH ATAS,Angkutan Pengumpan
1C,PESANGGRAHAN - BLOK M,Angkutan Pengumpan
1E,PONDOK LABU - BLOK M,Angkutan Pengumpan
1F,STASIUN PALMERAH - BUNDARAN SENAYAN,Angkutan Pengumpan
1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,Angkutan Pengumpan
1M,MERUYA - BLOK M,Angkutan Pengumpan
1N,TANAH ABANG - BLOK M,Angkutan Pengumpan
1P,SENEN - BLOK M,Angkutan Pengumpan
1Q,REMPOA - BLOK M,Angkutan Pengumpan
1R,SENEN - TANAH ABANG,Angkutan Pengumpan
2B,HARAPAN INDAH - PULO GADUNG,Angkutan Pengumpan
2P,SENEN - TRANSPORT HUB DUKUH ATAS,Angkutan Pengumpan
2Q,GONDANGDIA - BALAIKOTA,Angkutan Pengumpan
3D,TAMAN KOTA - PENJARINGAN VIA TUBAGUS ANGKE,Angkutan Pengumpan
3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,Angkutan Pengumpan
4B,STASIUN MANGGARAI - UNIVERSITAS INDONESIA,Angkutan Pengumpan
4C,PEMUDA MERDEKA - BUNDARAN SENAYAN,Angkutan Pengumpan
4F,PINANG RANTI - PULO GADUNG,Angkutan Pengumpan
