tanggal,tahun,bulan,minggu,nama_kota,total_recoveries,total_deaths,total_cases,recovery_rate,mortality_rate
2021-01-02,2021,January,1,JAKARTA BARAT,25107,744,156234,0.160701255808595,0.00476208763777411
2021-01-02,2021,January,1,JAKARTA PUSAT,17175,498,106952,0.160586057296731,0.00465629441244671
2021-01-02,2021,January,1,JAKARTA SELATAN,27878,649,179973,0.154901012929717,0.00360609647002606
2021-01-02,2021,January,1,JAKARTA TIMUR,34420,802,205418,0.16756077851016,0.00390423429300256
2021-01-02,2021,January,1,JAKARTA UTARA,18627,447,119491,0.15588621737202,0.00374086751303445
2021-01-02,2021,January,1,KEPULAUAN SERIBU,141,4,2299,0.0613310134841235,0.00173988690735102
2021-01-09,2021,January,2,JAKARTA BARAT,27546,786,164586,0.167365389522803,0.0047756188254165
2021-01-09,2021,January,2,JAKARTA PUSAT,18356,509,110597,0.165971952222936,0.00460229481812346
2021-01-09,2021,January,2,JAKARTA SELATAN,30234,676,187437,0.161302197538373,0.00360654513249785
2021-01-09,2021,January,2,JAKARTA TIMUR,37869,848,215322,0.175871485496141,0.00393828777365991
2021-01-09,2021,January,2,JAKARTA UTARA,20069,463,123743,0.162182911356602,0.00374162578893352
2021-01-09,2021,January,2,KEPULAUAN SERIBU,170,4,2354,0.0722175021240442,0.00169923534409516
2021-01-16,2021,January,3,JAKARTA BARAT,30372,849,196001,0.154958393069423,0.00433161055300738
2021-01-16,2021,January,3,JAKARTA PUSAT,19774,526,130466,0.151564392255454,0.00403170174604878
2021-01-16,2021,January,3,JAKARTA SELATAN,33803,735,229141,0.147520522298497,0.00320763198205472
2021-01-16,2021,January,3,JAKARTA TIMUR,42431,925,245995,0.172487245675725,0.00376023902924856
2021-01-16,2021,January,3,JAKARTA UTARA,21863,488,154603,0.141413814738394,0.00315647173728841
2021-01-16,2021,January,3,KEPULAUAN SERIBU,221,4,4550,0.0485714285714286,0.000879120879120879
2021-01-23,2021,January,4,JAKARTA BARAT,33900,889,207214,0.163598984624591,0.00429025065873927
2021-01-23,2021,January,4,JAKARTA PUSAT,21804,550,137145,0.158985015859127,0.00401035400488534
2021-01-23,2021,January,4,JAKARTA SELATAN,38215,792,244323,0.156411799134752,0.00324161049103032
2021-01-23,2021,January,4,JAKARTA TIMUR,48028,996,265367,0.180987085809464,0.00375329260985729
2021-01-23,2021,January,4,JAKARTA UTARA,24452,517,163421,0.149625813083998,0.00316360810422161
2021-01-23,2021,January,4,KEPULAUAN SERIBU,256,5,4775,0.0536125654450262,0.00104712041884817
2021-01-30,2021,January,5,JAKARTA BARAT,36872,942,221550,0.166427443015121,0.00425186188219364
2021-01-30,2021,January,5,JAKARTA PUSAT,23459,584,146809,0.159792655763611,0.00397795775463357
2021-01-30,2021,January,5,JAKARTA SELATAN,42180,859,261874,0.161069827474282,0.00328020345662418
2021-01-30,2021,January,5,JAKARTA TIMUR,52368,1074,282234,0.185548162163311,0.00380535300495334
2021-01-30,2021,January,5,JAKARTA UTARA,26586,537,174688,0.152191335409416,0.00307405202418025
2021-01-30,2021,January,5,KEPULAUAN SERIBU,302,6,5221,0.0578433250335185,0.00114920513311626
2021-02-06,2021,February,1,JAKARTA BARAT,41077,1004,236177,0.173924641264814,0.00425104900138455
2021-02-06,2021,February,1,JAKARTA PUSAT,25895,609,155095,0.166962184467584,0.00392662561655759
